gc_start_level,gc_slope,gc_sleep_time,sect_size,zone_size,finish_threshold_,ZBD_ABSTRACT_TYPE,RAID_LEVEL,TARGET
20.0,3.0,10000.0,128.0,16.0,0.0,1.0,1.0,24439451.0
20.0,3.0,10000.0,128.0,32.0,0.0,1.0,1.0,19376528.0
20.0,3.0,10000.0,128.0,64.0,0.0,1.0,1.0,11420074.0
20.0,3.0,10000.0,512.0,16.0,0.0,1.0,1.0,12204121.0
20.0,3.0,10000.0,512.0,32.0,0.0,1.0,1.0,12265685.0
20.0,3.0,10000.0,512.0,64.0,0.0,1.0,1.0,12240659.0
20.0,3.0,10000.0,1024.0,16.0,0.0,1.0,1.0,12245765.0
20.0,3.0,10000.0,1024.0,32.0,0.0,1.0,1.0,12330052.0
20.0,3.0,10000.0,1024.0,64.0,0.0,1.0,1.0,12506591.0
20.0,3.0,10000.0,2048.0,16.0,0.0,1.0,1.0,12472544.0
20.0,3.0,10000.0,2048.0,32.0,0.0,1.0,1.0,12483729.0
20.0,3.0,10000.0,2048.0,64.0,0.0,1.0,1.0,12126323.0
20.0,3.0,10000.0,4096.0,16.0,0.0,1.0,1.0,9306903.0
20.0,3.0,10000.0,4096.0,32.0,0.0,1.0,1.0,18367566.0
20.0,3.0,10000.0,4096.0,64.0,0.0,1.0,1.0,18318972.0
20.0,3.0,10000.0,128.0,64.0,0.0,1.0,1.0,12413171.0
20.0,3.0,10000.0,128.0,64.0,0.0,1.0,1.0,12515150.0
20.0,3.0,10000.0,128.0,64.0,0.0,1.0,1.0,12294332.0
20.0,3.0,10000.0,128.0,64.0,0.0,1.0,1.0,12229679.0
20.0,3.0,10000.0,512.0,32.0,0.0,1.0,1.0,11901518.0
20.0,3.0,10000.0,512.0,32.0,0.0,1.0,1.0,11901518.0
20.0,3.0,10000.0,512.0,32.0,0.0,1.0,1.0,11901518.0
20.0,3.0,10000.0,512.0,32.0,0.0,1.0,1.0,11901518.0
